Ｎｏ,名称,名称(英語),名称(中国語),市町村名,住所,住所(英語),住所(中国語),緯度,経度,利用時間,多目的(障害者用)トイレ
1,友ヶ島野奈浦公衆トイレ,,友岛野奈浦公共厕所,和歌山市,和歌山市加太笘ヶ沖島2673-3,,,34.282891,135.008677,終日,TRUE
2,友ヶ島南垂水公衆トイレ,,友岛南垂水公共厕所,和歌山市,和歌山市加太苫ケ沖島2673-1,,,34.28255,135.013597,終日,FALSE
3,友ヶ島池尻公衆トイレ,,友岛池屁公共厕所,和歌山市,和歌山市加太苫ケ沖島2673-1,,,34.28081,135.00201,終日,FALSE
4,深山観光広場公衆トイレ,,深山观光广场公共厕所,和歌山市,和歌山市深山105,,,34.29037,135.074549,終日,TRUE
5,加太大波止公衆トイレ,,,和歌山市,和歌山市加太118,,,34.274064,135.066396,終日,TRUE
6,深山海岸公衆トイレ,,,和歌山市,和歌山市深山,,,34.288084,135.071741,終日,TRUE
7,加太海岸公衆トイレ,,,和歌山市,和歌山市加太地先,,,34.276639,135.073606,終日,TRUE
8,磯の浦海水浴場公衆トイレ,,,和歌山市,和歌山市磯の浦379,,,34.259729,135.094753,終日,TRUE
9,和歌浦公衆トイレ,,,和歌山市,和歌山市新和歌浦1-1,,,34.187586,135.161332,終日,TRUE
10,加太船着場公衆トイレ,,,和歌山市,和歌山市加太地先,,,34.274964,135.070282,終日,FALSE
11,和歌山公園内西の丸公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.229036,135.170653,終日,TRUE
12,和歌山公園内砂の丸公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.227578,135.16957,終日,FALSE
13,和歌山公園内不明門公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.226758,135.17146,終日,TRUE
14,和歌山公園内動物園公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.22669,135.172788,終日,FALSE
15,和歌山公園内桜林（岡口門北）公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.227162,135.174119,終日,TRUE
16,和歌山公園内桃林（伏虎像東）公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.228307,135.174134,終日,FALSE
17,和歌山公園内二の丸公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.229428,135.173025,終日,FALSE
18,和歌山公園内天守閣前広場公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.227175,135.171481,終日,FALSE
19,和歌山公園内天守閣中庭公衆トイレ,,,和歌山市,和歌山市一番丁3番,,,34.227545,135.171243,9:00~17:30,FALSE
20,岡公園内北側公衆トイレ,,,和歌山市,和歌山市岡山丁3,,,34.226143,135.175124,終日,FALSE
21,岡公園内南西側公衆トイレ,,,和歌山市,和歌山市岡山丁3,,,34.224366,135.175362,終日,FALSE
22,紀ノ川SA公衆トイレ(上り)メイン,,,和歌山市,和歌山市北野744-1,,,34.275728,135.249964,終日,TRUE
23,紀ノ川SA公衆トイレ(上り)サブ,,,和歌山市,和歌山市北野744-1,,,34.275081,135.247593,終日,FALSE
24,紀ノ川SA公衆トイレ(下り)メイン,,,和歌山市,和歌山市北野744-1,,,34.275633,135.250298,終日,TRUE
25,マリーナシティー公衆トイレ,,,和歌山市,和歌山市毛見1538,,,34.1556654,135.1791823,終日,TRUE
26,紀三井寺公園内テニスコート付近公衆トイレ,,,和歌山市,和歌山市毛見200,,,34.1670003,135.1893718,終日,TRUE
27,紀三井寺公園内児童公園付近公衆トイレ,,,和歌山市,和歌山市毛見200,,,34.167834,135.191771,終日,FALSE
28,紀三井寺緑道亀の川付近公衆トイレ,,,和歌山市,和歌山市毛見200,,,34.168775,135.188509,終日,FALSE
29,紀三井寺公園陸上競技場内,,,和歌山市,和歌山市毛見200,,,34.166181,135.1918971,9:00~17:00,FALSE
30,河西公園公衆トイレA棟,,,和歌山市,和歌山市西庄,,,34.247298,135.117775,終日,TRUE
31,河西公園公衆トイレB棟,,,和歌山市,和歌山市西庄,,,34.248671,135.114839,終日,TRUE
32,河西公園公衆トイレC棟,,,和歌山市,和歌山市西庄,,,34.25001,135.112511,終日,TRUE
33,河西公園公衆トイレD棟,,,和歌山市,和歌山市西庄,,,34.251373,135.110415,終日,TRUE
34,河西公園公衆トイレE棟,,,和歌山市,和歌山市西庄,,,34.252769,135.106426,終日,TRUE
35,河西公園公衆トイレF棟,,,和歌山市,和歌山市西庄,,,34.253944,135.1056,終日,TRUE
36,河西公園公衆トイレG棟,,,和歌山市,和歌山市西庄,,,34.256418,135.100949,終日,TRUE
37,河西公園水泳場管理棟,,,和歌山市,和歌山県和歌山市松江字29 ,,,34.2547413,135.1040947,10:00~17:00,FALSE
38,松江緑地公衆トイレ,,,和歌山市,和歌山市松江中1丁目,,,34.2463585,135.1281948,9:00~21:00,TRUE
39,西松江緑地公衆トイレ棟,,,和歌山市,和歌山市松江字29,,,34.2477449,135.12138,終日,TRUE
40,西松江緑地体育館,,,和歌山市,和歌山市松江2000,,,34.2477727,135.1214356,8:30~21:00,TRUE
41,東松江緑地管理棟,,,和歌山市,和歌山市松江東1丁目1545-1,,,34.2418262,135.1392154,9:00~17:00,TRUE
42,湊緑地公衆トイレ棟,,,和歌山市,和歌山市湊5丁目4,,,34.228592,135.143749,9:00~17:00,TRUE
43,片男波公園駐車場公衆トイレ,,,和歌山市,和歌山市和歌浦南3丁目1700-2,,,34.183227,135.172245,終日,TRUE
44,片男波公園公衆トイレ,,,和歌山市,和歌山市和歌浦南3丁目1700-2,,,34.178636,135.175152,9:00~17:00,TRUE
45,健康館,,,和歌山市,和歌山市和歌浦南3丁目1700-2,,,34.181628,135.1733449,9:00~21:00,TRUE
46,万葉館,,,和歌山市,和歌山市和歌浦南3丁目1700-2,,,34.1817169,135.1734338,9:00~17:00,TRUE
47,８の字公園公衆トイレ,,,和歌山市,和歌山市和歌浦南3丁目4,,,34.1864241,135.168683,終日,TRUE
48,８の字公園（東出）公衆トイレ,,,和歌山市,和歌山市和歌浦南2丁目3,,,34.187702,135.166333,終日,FALSE
49,藤白神社,,,海南市,海南市藤白434-1,,,34.144321,135.2094069,終日,TRUE
50,亀池広場公衆トイレ,,,海南市,海南市阪井452,,,34.155755,135.259237,終日,FALSE
51,温山荘公園公衆トイレ,,,海南市,海南市船尾396,,,34.1582587,135.1944767,10:00~16:00,TRUE
52,JR海南駅公衆トイレ,,,海南市,海南市名高51-2,,,34.1543271,135.214344,終日,TRUE
53,藤白塔下王子跡公衆トイレ,,,海南市,海南市下津町橘本1614-3,,,34.136759,135.199368,終日,TRUE
54,長保寺,,,海南市,海南市下津町上689,,,34.1091128,135.165655,終日,FALSE
55,善福院,,,海南市,海南市下津町梅田270,,,34.1305307,135.1772523,終日,FALSE
56,春日神社,,,海南市,海南市大野中1056,,,34.1561534,135.2270471,終日,TRUE
57,小川宮前公衆トイレ,,,紀美野町,紀美野町奥佐々21番地2,,,34.133207,135.327354,終日,FALSE
58,紀美野町のかみふれあい公園公衆トイレ,,,紀美野町,紀美野町西野971-1,,,34.179805,135.348222,9:00~17:00,TRUE
59,生石高原童謡公衆トイレ,,,紀美野町,紀美野町中田899-29,,,34.105312,135.327384,終日,TRUE
60,紀美野町役場,,,紀美野町,紀美野町動木287,,,34.1672484,135.3075262,平日 8:30~17:15,TRUE
61,紀美野町総合福祉センター,,,紀美野町,紀美野町下佐々1408-4,,,34.152116,135.310918,平日 8:30~17:15,TRUE
62,十三神社公衆トイレ,,,紀美野町,紀美野町野中63-1,,,34.1472674,135.3511596,終日,FALSE
63,小西公衆トイレ,,,紀美野町,紀美野町小西169-7,,,34.152121,135.310897,終日,FALSE
64,紀美野町役場美里支所,,,紀美野町,紀美野町神野市場226-1,,,34.1496847,135.3551437,平日 8:30~17:15,TRUE
65,紀の川市粉河支所,,,紀の川市,紀の川市粉河412,,,34.2699875,135.4077829,8:45~17:30,TRUE
66,粉河ふるさとセンター,,,紀の川市,紀の川市粉河580,,,34.2674892,135.4107033,8:45~17:30,TRUE
67,JR粉河駅構内公衆トイレ,,,紀の川市,紀の川市粉河870,,,34.2708642,135.4043078,終日,FALSE
68,粉河寺公衆トイレ,,,紀の川市,紀の川市粉河2787,,,34.280673,135.406279,終日,FALSE
69,観光特産センターこかわ,,,紀の川市,紀の川市粉河2046-1,,,34.2780097,135.4038824,8:00~18:00,FALSE
70,葛城山公衆トイレ,,,紀の川市,紀の川市切畑地区,,,34.347842,135.434862,終日,TRUE
